,v10,y10,NOM_EQUIP,NB_VOIES
A1020,14.0,12.2,A1-W/01+0800,4
A1040,13.0,10.0,A1-W/04+0000,4
A1110,15.4,11.5,A1-W/10+0700,4
A1041,12.6,12.5,A1-Y/04+0000,4
A3122,7.8,6.4,A3-W/12+0100,3
86002,15.9,12.9,A86-E/12+0300,4
86084,15.0,11.7,A86-E/20+0450,3
86100,14.1,11.3,A86-E/22+0000,3
86186,16.7,12.1,A86-E/30+0588,3
86260,6.8,7.8,A86-E/38+0000,4
86274,8.2,7.5,A86-E/39+0461,3
96235,11.2,8.1,A86-I/05+0460,2
86085,12.3,11.1,A86-I/20+0450,3
86101,12.6,9.6,A86-I/22+0100,3
86321,5.7,5.4,A86-I/44+0110,3
86339,7.2,6.7,A86-I/45+0875,3
